Source,Target,type,weight
0,1,directed,1
0,2,directed,1
0,3,directed,1
0,4,directed,1
0,5,directed,1
6,7,directed,1
6,8,directed,1
6,9,directed,1
6,10,directed,1
6,11,directed,1
6,12,directed,1
6,13,directed,1
14,15,directed,1
14,0,directed,1
14,16,directed,1
14,2,directed,1
14,17,directed,1
14,18,directed,1
19,20,directed,1
21,22,directed,1
21,23,directed,1
21,24,directed,1
21,25,directed,1
22,24,directed,1
22,25,directed,1
11,26,directed,1
11,27,directed,1
11,18,directed,1
11,20,directed,1
11,28,directed,1
11,19,directed,1
11,29,directed,1
11,30,directed,1
11,31,directed,1
11,32,directed,1
11,33,directed,1
